UID        PID  PPID  C STIME TTY          TIME CMD
root       863     1  0 Sep25 ?        00:00:00 /usr/sbin/mcelog --ignorenodev --daemon --foreground
avahi      864     1  0 Sep25 ?        00:00:00 avahi-daemon: running [Isometric.local]
root       867     1  0 Sep25 ?        00:00:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -f /var/log/wpa_supplicant.log
root       868     1  0 Sep25 ?        00:00:00 /usr/sbin/ModemManager
nscd       870     1  0 Sep25 ?        00:00:11 /usr/sbin/nscd
root       871     1  0 Sep25 ?        00:00:05 /usr/sbin/irqbalance --foreground
message+   873     1  0 Sep25 ?        00:00:06 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       887     1  0 Sep25 ?        00:00:00 /usr/lib/systemd/systemd-logind
root       889     1  0 Sep25 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
polkitd    955     1  0 Sep25 ?        00:00:05 /usr/lib/polkit-1/polkitd --no-debug
root       956     1  0 Sep25 ?        00:00:15 /usr/sbin/NetworkManager --no-daemon
root       966     2  0 Sep25 ?        00:00:00 [cfg80211]
root       974     1  0 Sep25 ?        00:00:00 /usr/bin/kdm
root       999     1  0 Sep25 ?        00:00:00 /usr/sbin/cupsd -f
root      1013   974  6 Sep25 tty7     01:11:54 /usr/bin/Xorg -br :0 vt7 -nolisten tcp -seat seat0 -auth /var/lib/kdm/AuthFiles/A:0-CrYCsa
ntp       1055     1  0 Sep25 ?        00:00:06 /usr/sbin/ntpd -p /var/run/ntp/ntpd.pid -g -u ntp:ntp -c /etc/ntp.conf
root      1106     1  0 Sep25 ?        00:00:00 /usr/lib/postfix/master -w
postfix   1126  1106  0 Sep25 ?        00:00:00 qmgr -l -t fifo -u
root      1142   956  0 Sep25 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/nm-dhcp-helper -pf /var/run/dhclient-enp2s0.pid -lf /var/lib/NetworkManager/dhclient-8931c668-2dd4-4da8-a2d5-a6bae58e25f3-enp2s0.lease -cf /var/lib/NetworkManager/dhclient-enp2s0.conf enp2s0
root      1162     1  0 Sep25 ?        00:00:00 /usr/sbin/cron -n
root      1194   974  0 Sep25 ?        00:00:00 -:0
jeisoncg  1442     1  0 Sep25 ?        00:00:00 /usr/lib/systemd/systemd --user
jeisoncg  1443  1442  0 Sep25 ?        00:00:00 (sd-pam)
jeisoncg  1444  1194  0 Sep25 ?        00:00:00 /bin/sh /usr/bin/startkde
